Title,EmploymentType,Location,Closingdate,Agency,Link
Employment Services Spec Sr - #ARS00777,Full-Time (Salaried),Manassas,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-spec-sr-ars00777-manassas-virginia-united-states
Regional Dam Safety Engineer,Full-Time (Salaried),Richmond,,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/regional-dam-safety-engineer-richmond-virginia-united-states
Equipment and Applications Specialist (NOC),Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/equipment-and-applications-specialist-noc-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-
RN Weekend Shift Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states-8dca5321-059f-424b-8ac3-16f4e26d033b
General Accounting and Reporting Manager (Hybrid),Full-Time (Salaried),Richmond,Mar 13 2023 at 23:55 EDT,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/general-accounting-and-reporting-manager-hybrid-richmond-virginia-united-states
Rehabilitation Teacher - #BVI00124,Full-Time (Salaried),Fairfax County,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/rehabilitation-teacher-bvi00124-fairfax-county-virginia-united-states
Communications Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgo
IT Project Manager,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/it-project-manager-richmond-virginia-united-states
Title I Specialist,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/title-i-specialist-richmond-virginia-united-states
Fiscal Assistant,Full-Time (Salaried),"Manassas
  Prince William",Feb 27 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/fiscal-assistant-manassas-virginia-united-states-prince-william
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states-ddfc5e30-6e7d-4e71-bba9-08787ae61257
Senior Financial Reporting and Compliance Specialist,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/senior-financial-reporting-and-compliance-specialist-richmond-virginia-united-states
Public Health Nurse Sr.,Full-Time (Salaried),Greensville,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-greensville-virginia-united-states
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states
Business Manager C (ALX),Full-Time (Salaried),Alexandria,Mar 13 2023 at 23:55 EDT,Department of Health,https://www.jobs.virginia.gov/jobs/business-manager-c-alx-alexandria-virginia-united-states
Public Health Nurse Sr.,Full-Time (Salaried),Prince George,Mar 10 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-prince-george-virginia-united-states
RN Weekend Shift Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states
Production Technician: Virginia Correctional Enterprises #00235,Full-Time (Salaried),Powhatan,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-technician-virginia-correctional-enterprises-00235-powhatan-virginia-united-states-61741fe9-e9c9-42bb-8079-cac01cfd35f2
Cognitive Counselor: P&P District #11 Winchester,Full-Time (Salaried),Winchester,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-11-winchester-winchester-virginia-united-states
Corrections Officer: Stafford CCAP #01149,Full-Time (Salaried),Stafford,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states-73194cbc-400a-4278-a7cc-ea1a47d4bfdc
Corrections Sergeant: Central Virginia Correctional Unit #13  #13085,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-central-virginia-correctional-unit-13-13085-chesterfield-virginia-united-states
Fiscal Tech Senior: Central Virginia Correctional Unit #13,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-central-virginia-correctional-unit-13-chesterfield-virginia-united-states
Casework Counselor: Virginia Correctional Center For Women #00146,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-virginia-correctional-center-for-women-00146-goochland-virginia-united-states
Cognitive Counselor: Virginia Correctional Center For Women #02017,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-virginia-correctional-center-for-women-02017-goochland-virginia-united-states
Inmate Grievance Coordinator: Nottoway Correctional Center,Full-Time (Salaried),Nottoway,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-nottoway-correctional-center-nottoway-virginia-united-states
Cognitive Counselor: Dillwyn Correctional Center,Full-Time (Salaried),Buckingham,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-dillwyn-correctional-center-buckingham-virginia-united-states
Human Resources Analyst : Virginia Correctional Ctr For Women #00016,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-analyst-virginia-correctional-ctr-for-women-00016-goochland-virginia-united-states
Program Support Technician: VIrginia Correctional Center for Women,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-correctional-center-for-women-goochland-virginia-united-states
Corrections Sergeant: Virginia Correctional Center for Women #00285,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-virginia-correctional-center-for-women-00285-goochland-virginia-united-states
Food Operations Assistant Director: Virginia Correctional Center for Women #01123,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-virginia-correctional-center-for-women-01123-goochland-virginia-united-states
Time Computation Correspondence Specialist: Central Administration #01427,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/time-computation-correspondence-specialist-central-administration-01427-richmond-virginia-united-states-24cd99b9-6b13-429b-bb22-f71a39f786a6
Corrections Assistant Warden: Coffeewood Correctional Center #00003,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-assistant-warden-coffeewood-correctional-center-00003-culpepper-virginia-united-states
Corrections Officer: Stafford CCAP #01149,Full-Time (Salaried),Stafford,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states
Probation Officer: P&P District #9 Charlottesville #P0915,Full-Time (Salaried),Charlottesville,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-9-charlottesville-p0915-charlottesville-virginia-united-states
Regulatory Compliance Specialist,Full-Time (Salaried),Richmond,,Virginia State Bar,https://www.jobs.virginia.gov/jobs/regulatory-compliance-specialist-richmond-virginia-united-states
AQM - P0729 - Air Quality Monitoring Specialist,Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/aqm-p0729-air-quality-monitoring-specialist-henrico-virginia-united-states
Benefits Administrator,Full-Time (Salaried),"North Chesterfield
  Richmond",,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/benefits-administrator-north-chesterfield-virginia-united-states-richmond
Registered Nurse,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/registered-nurse-virginia-beach-virginia-united-states
Certified Nursing Assistant,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/certified-nursing-assistant-virginia-beach-virginia-united-states
Cognitive Counselor: Greensville Correctional Ctr. Eastern Region -#01336,Full-Time (Salaried),Greensville,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-greensville-correctional-ctr-eastern-region-01336-greensville-virginia-united-states
Probation Officer: P&P District #11 Winchester #P1108,Full-Time (Salaried),Winchester,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-11-winchester-p1108-winchester-virginia-united-states
Food Operations Supervisor: Coffeewood Correctional Center #00048,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-coffeewood-correctional-center-00048-culpepper-virginia-united-states
Electronic Technician Senior: Coffeewood Correctional Center #00096,Full-Time (Salaried),Culpepper,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electronic-technician-senior-coffeewood-correctional-center-00096-culpepper-virginia-united-states
Program Support Technician (Timekeeper): Lunenburg Correctional Center #00457,Full-Time (Salaried),Lunenburg,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-timekeeper-lunenburg-correctional-center-00457-lunenburg-virginia-united-states
Electrician Supervisor: Buckingham Correctional Center #00046,Full-Time (Salaried),Buckingham,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electrician-supervisor-buckingham-correctional-center-00046-buckingham-virginia-united-states
Casework Counselor: Central Virginia Correctional Unit #13  #13060,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states
Cognitive Counselor: Lunenburg Correctional Center #00462,Full-Time (Salaried),Lunenburg,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-lunenburg-correctional-center-00462-lunenburg-virginia-united-states
Storekeeper Supervisor: VA Correctional Center For Women #00174,Full-Time (Salaried),Goochland,Feb 28 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/storekeeper-supervisor-va-correctional-center-for-women-00174-goochland-virginia-united-states
Business Coordinator,Full-Time (Salaried),Fairfax County,Feb 27 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/business-coordinator-fairfax-county-virginia-united-states
"Regional Marketing Specialist (food, agricultural and specialty crop products)",Full-Time (Salaried),"Accomac
  Northampton
  Virginia Beach",Mar 10 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-specialty-crop-products-accomac-virginia-united-states-northampton-virginia-beach
"Coordinator, Governor’s Schools and Gifted Education, K-12",Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/coordinator-governor-s-schools-and-gifted-education-k-12-richmond-virginia-united-states
RN 11-7 Shift Relief Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-11-7-shift-relief-supervisor-virginia-beach-virginia-united-states
RN 3-11 Shift Relief Supervisor,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/rn-3-11-shift-relief-supervisor-virginia-beach-virginia-united-states
Senior Research Associate,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/senior-research-associate-richmond-virginia-united-states
Housekeeper,Full-Time (Salaried),Virginia Beach,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/day-porter-float-virginia-beach-virginia-united-states
Human Resources Analyst,Full-Time (Salaried),Richmond,,Supreme Court,https://www.jobs.virginia.gov/jobs/human-resource-analyst-richmond-virginia-united-states-ca202b8d-70a2-4252-bd02-a23ad2133681
Nutrition Services Aide,Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/nutrition-services-aide-richmond-virginia-united-states
Corrections Officer - State Farm Correctional Complex,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-state-farm-virginia-united-states-809beb00-b44a-4b84-946a-5d35777d5d32
Compliance Coordinator,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/compliance-coordinator-richmond-virginia-united-states
Systems Analyst - Advanced #W5165,Full-Time (Salaried),Richmond,,Department of Social Services,https://www.jobs.virginia.gov/jobs/systems-analyst-advanced-richmond-virginia-united-states
"Assistant Attorney General, Transportation Section (OAG00485)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states
"Assistant Attorney General, Criminal Litigation Section (OAG00541)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e4de1b25-a0b0-4d12-9d69-1410d774e51a
"Assistant Attorney General, Computer Crimes Section (OAG00444)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-82d53b20-7c25-4492-ac27-21c020921972
"Assistant Attorney General, Health Professions Section (OAG00279)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-99024962-ba6c-4809-a939-3bf8a407488c
"Assistant Attorney General, Health Professions Section (OAG00076)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9fc3bd42-fda2-443d-bb5d-bb1ff83c36a0
"Assistant Attorney General, Environmental Section (OAG00217)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-0ff73833-3799-4ed5-82e3-72cf7b5506c3
"Assistant Attorney General, Environmental Section (OAG00103)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9e563908-9d2a-4c1c-879e-1a0cbb3100ea
Assistant Attorney General / Technology & Procurement Law Section,Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-technology-procurement-law-section-richmond-virginia-united-states
"Assistant Attorney General III, Real Estate & Land Use Section (OAG00113)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-iii-richmond-virginia-united-states
"Paralegal, Insurance & Utilities Regulatory Section (OAG00123)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/paralegal-insurance-utilities-regulatory-section-richmond-virginia-united-states-6315e9e3-10b7-4556-8bb9-1c03963d0aab
Director of Victim Services (OAG00205),Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/director-of-victim-services-richmond-virginia-united-states
Senior IT Management Analyst (Hybrid),Full-Time (Salaried),Richmond,,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-it-management-analyst-hybrid-richmond-virginia-united-states
Senior Employer Confirmation Analyst (Hybrid),Full-Time (Salaried),Richmond,,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-employer-confirmation-analyst-hybrid-richmond-virginia-united-states
Purchase of Prior Service Supervisor (Hybrid),Full-Time (Salaried),Richmond,,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-supervisor-hybrid-richmond-virginia-united-states
Licensed Practical Nurse,Full-Time (Salaried),"Richmond
  Sussex",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-waverly-virginia-united-states
"Director, Administrative and Financial Services",Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/director-administrative-amp-financial-services-richmond-virginia-united-states
SharePoint Administrator - 00016,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/sharepoint-administrator-00016-richmond-virginia-united-states
Licensed Practical Nurse (LPN),Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-lpn-richmond-virginia-united-states
Certified Nurse Aide (CNA),Full-Time (Salaried),Richmond,,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/certified-nurse-aide-cna-richmond-virginia-united-states
Special Assistant,Full-Time (Salaried),Richmond,,Tobacco Rgn Revitalizatn Comm,https://www.jobs.virginia.gov/jobs/special-assistant-richmond-virginia-united-states
Deputy Director of Administration,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/deputy-director-of-administration-richmond-virginia-united-states
Audit Services Manager,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/audit-services-manager-richmond-virginia-united-states
"Assistant Attorney General, Antitrust Unit (OAG00336)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-385e77ae-8952-484d-b933-3f6cee73f110
Financial Services Specialist - AF053,Full-Time (Salaried),Richmond,Feb 23 2023 at 23:55 EST,Department of General Services,https://www.jobs.virginia.gov/jobs/financial-services-specialist-af053-richmond-virginia-united-states
"Assistant Attorney General, Health Professions Unit (OAG00150)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-a3dba95f-ff60-4418-8c65-45bd33ee47be
"Assistant Attorney General, Civil Litigation Section (OAG00507)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e75dd8ee-e3cb-4b7b-8c92-62373e27781c
"Assistant Attorney General, Unit Manager Position",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-unit-manager-position-richmond-virginia-united-states
Senior Financial Reporting Analyst - AF069,Full-Time (Salaried),Richmond,Feb 23 2023 at 23:55 EST,Department of General Services,https://www.jobs.virginia.gov/jobs/senior-financial-reporting-analyst-af069-richmond-virginia-united-states
Assistant Clerk,Full-Time (Salaried),Richmond,,Virginia State Bar,https://www.jobs.virginia.gov/jobs/assistant-clerk-richmond-virginia-united-states
Engineer Associate EDGE (Statewide Opportunities),Full-Time (Salaried),"Bristol
  Colonial Heights
  Culpepper
  Fairfax County
  Fredericksburg
  Lynchburg
  Richmond
  Salem
  Staunton
  Suffolk

            Bristol
  Colonial Heights
  Culpepper",,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-associate-edge-richmond-virginia-united-states-22829da5-7306-4572-9495-11f039b5c52d
Scientist I - CL626,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/scientist-i-cl626-richmond-virginia-united-states
State Police Trooper I,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Department of State Police,https://www.jobs.virginia.gov/jobs/state-police-trooper-i-n-chesterfield-virginia-united-states
State Police Trooper Rehire,Full-Time (Salaried),"Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Accomac
  Albemarle County
  Alexandria",,Department of State Police,https://www.jobs.virginia.gov/jobs/state-police-trooper-rehire-n-chesterfield-virginia-united-states
Community Engagement & Partnerships Specialist,Full-Time (Salaried),Richmond,,The Library of Virginia,https://www.jobs.virginia.gov/jobs/community-engagement-partnerships-specialist-richmond-virginia-united-states
Planning & Deployment Team Leader - FL007,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/planning-deployment-team-leader-fl007-richmond-virginia-united-states
State Review Architect - EE009,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/state-review-architect-ee009-richmond-virginia-united-states
Application Developer - 00150,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/application-developer-00150-richmond-virginia-united-states
Dental Hygienist - Coffeewood Correctional Center,Full-Time (Salaried),"Culpepper
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/template-dental-hygienist-mitchells-virginia-united-states
Portfolio/Project Manager,Full-Time (Salaried),"Norfolk
  Richmond",,Department of Taxation,https://www.jobs.virginia.gov/jobs/portfolio-project-manager-richmond-virginia-united-states
Unemployment Tax Representative,Full-Time (Salaried),"Chesterfield
  Henrico
  Petersburg
  Richmond

            Chesterfield
  Henrico
  Petersburg",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/unemployment-tax-representative-richmond-virginia-united-states
