Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Office Services Assistant: P&P District #28 Radford #P2804,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $38,865",General Public - G,Open,2023-03-10T23:55:00Z,Radford,Radford P&P,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-28-radford-p2804-radford-virginia-united-states,2023-02-24
Probation Officer: P&P District #40 Fincastle #P4011,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-10T23:55:00Z,Staunton,Fincastle P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-40-fincastle-p4011-staunton-virginia-united-states,2023-02-24
Nurse Practitioner (Hourly) : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,$52.89 - $74.52,General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/nurse-practitioner-hourly-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Registered Nurse Supervisor : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$86,000 - $105,000",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Registered Nurse : Cofeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-cofeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Laboratory Technician Senior : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$36,383 - $56,757",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Program Support Technician (Health Services) : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Licensed Practical Nurse : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $74,939",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Physician MD : Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$157,364 - $295,843",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/physician-md-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Physician MD #00251; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$157,364 - $295,843",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/physician-md-00251-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Dental Assistant #00683; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,500 - $46,444",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/dental-assistant-00683-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Mental Health Clinician; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Nurse Practitioner #00252; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$110,000 - $162,762",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/nurse-practitioner-00252-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Laboratory Technician Senior #00272; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$36,383 - $56,757",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-00272-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Program Support Technician (Health Services); Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Registered Nurse Supervisor (RNCA) #00254; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$86,000 - $105,000",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-rnca-00254-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Registered Nurse; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
Licensed Practical Nurse; Augusta Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $74,939",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-24
"Veteran Service Representative - South Hill, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $42,000",General Public - G,Open,2023-03-10T23:55:00Z,Mecklenburg,"South Hill, VA",https://www.jobs.virginia.gov/jobs/veteran-service-representative-south-hill-va-mecklenburg-virginia-united-states,2023-02-24
IT Business Data Analyst Lead,VA Department of Transportation,Full-Time (Salaried),NA,"$75,679 - $100,000",General Public - G,Open,2023-03-10T23:55:00Z,Salem,Salem,https://www.jobs.virginia.gov/jobs/it-business-data-analyst-lead-salem-virginia-united-states,2023-02-24
VIB-Associate-Fire Extinguisher Dept./Driver/Shipping/Receiving - #BVIIR002,Department for Blind/Vision Impaired,Full-Time (Salaried),UG,"Minimum starting salary at $24,960 commensurate with experience",General Public - G,Open,NA,Richmond,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/vib-associate-fire-extinguisher-dept-driver-shipping-receiving-bviir002-richmond-virginia-united-states,2023-02-24
Deputy Clerk - Williamsburg,Supreme Court,Full-Time (Salaried),NA,"Negotiable up to $35,923.00",General Public - G,Open,2023-03-10T23:55:00Z,Williamsburg,9th Dist. CSU Williamsburg,https://www.jobs.virginia.gov/jobs/deputy-clerk-williamsburg-williamsburg-virginia-united-states,2023-02-24
Engineer  Senior Project  Manager  – Lynchburg District,VA Department of Transportation,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Open,2023-03-10T23:55:00Z,Lynchburg,Lynchburg District Office,https://www.jobs.virginia.gov/jobs/engineer-senior-project-manager-lynchburg-district-lynchburg-virginia-united-states,2023-02-24
Business System Administrator,VA Department of Transportation,Full-Time (Salaried),NA,"$69,115-$100,000",General Public - G,Closing soon,2023-03-09T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/business-system-administrator-richmond-virginia-united-states,2023-02-24
Training & Outreach Coordinator,VA Workers' Compensation Comm,Full-Time (Salaried),NA,"Minimum starting salary $58,900, commensurate with experience",General Public - G,Closing soon,2023-03-09T23:55:00Z,Richmond,RICHMOND HEADQUARTERS,https://www.jobs.virginia.gov/jobs/training-outreach-coordinator-richmond-virginia-united-states,2023-02-24
Maintenance Operator - Specialty Projects Halifax Residency,VA Department of Transportation,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,2023-03-10T23:55:00Z,Halifax,Halifax Residency,https://www.jobs.virginia.gov/jobs/maintenance-operator-specialty-projects-halifax-residency-halifax-virginia-united-states,2023-02-24
Information Technology Program Manager,VA Department of Transportation,Full-Time (Salaried),6,"$100,615 - $148,250",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/information-technology-program-manager-richmond-virginia-united-states,2023-02-24
Specialty Dockets Compliance Analyst - Supreme Court of Virginia,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/specialty-dockets-compliance-analyst-supreme-court-of-virginia-richmond-virginia-united-states,2023-02-24
Executive Assistant to Director of Virginia State Parks,Department Conservation & Recreation,Full-Time (Salaried),NA,"$45,000 - $55,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Office,https://www.jobs.virginia.gov/jobs/executive-assistant-to-director-of-virginia-state-parks-richmond-virginia-united-states,2023-02-24
Information Technology Database Administration Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$130,000-$140,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/information-technology-database-administration-manager-richmond-virginia-united-states,2023-02-24
Procurement Officer,Department of Forestry,Full-Time (Salaried),NA,"$75,000-$85,000 with state benefits",General Public - G,Open,NA,Charlottesville,"Charlottesville, Nat Resrcs Dr",https://www.jobs.virginia.gov/jobs/procurement-officer-charlottesville-virginia-united-states-72a71e2e-59dc-4ebd-bc57-94e5f804340f,2023-02-24
Registered Nurse Supervisor Senior - Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$90,000 - $115,000",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-24
Retiree Counseling Supervisor (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$59,798 - $76,000",General Public - G,Open,2023-03-23T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/retiree-counseling-supervisor-remote-richmond-virginia-united-states,2023-02-24
Traffic Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$81,000-$132,000",General Public - G,Closing soon,2023-03-08T23:55:00Z,"Alexandria
  Arlington
  Fairfax County
  Loudoun County
  Manassas
  Prince William

            Alexandria
  Arlington
  Fairfax County",NOVA District Office,https://www.jobs.virginia.gov/jobs/traffic-engineer-alexandria-virginia-united-states-arlington-fairfax-county-loudoun-county-manassas-prince-william,2023-02-24
Land Surveyor Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$72,000-$116,000",General Public - G,Open,2023-03-13T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/land-surveyor-supervisor-fairfax-county-virginia-united-states,2023-02-24
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"starting $53,183 (commensurate with experience)",General Public - G,Open,2023-03-12T21:15:00Z,Accomac,2-A Dist. CSU Accomac,https://www.jobs.virginia.gov/jobs/probation-officer-accomac-virginia-united-states,2023-02-24
Park Ranger Maintenance - Lake Anna State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$31,746 - $46,355",General Public - G,Open,2023-03-10T23:55:00Z,Spotsylvania,Lake Anna State Park,https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-lake-anna-state-park-spotsylvania-virginia-united-states,2023-02-23
Attorney - Assistant Public Defender I/II - Prince William,Indigent Defense Commission,Full-Time (Salaried),NA,NA,NA,Open,2023-03-10T23:55:00Z,Prince William,NA,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-prince-william-manassas-virginia-united-states,2023-02-23
Senior Assistant Public Defender / Senior Trial Attorney - Prince William,Indigent Defense Commission,Full-Time (Salaried),NA,"$85,597.00 + State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Prince William,PRINCE WILLIAM 311,https://www.jobs.virginia.gov/jobs/senior-assistant-public-defender-senior-trial-attorney-prince-william-manassas-virginia-united-states-a764cc81-8749-47fd-9c77-ad1221052206,2023-02-23
Accountant,Department of Health,Full-Time (Salaried),NA,"$56,700- $61,693",General Public - G,Open,2023-03-10T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/accountant-petersburg-virginia-united-states,2023-02-23
"Veteran Service Representative - Springfield, VA",Department of Veterans Services,Full-Time (Salaried),NA,"Up to $55,000",General Public - G,Open,2023-03-10T23:55:00Z,Fairfax County,"Springfield, VA",https://www.jobs.virginia.gov/jobs/veteran-service-representative-springfield-va-fairfax-county-virginia-united-states,2023-02-23
Administrative Law Clerk - Judge Athey's Chambers,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-04-03T23:55:00Z,Richmond,CAV Office,https://www.jobs.virginia.gov/jobs/administrative-law-clerk-judge-athey-s-chambers-richmond-virginia-united-states,2023-02-23
Assistant State Engineer- Traffic Operations,VA Department of Transportation,Full-Time (Salaried),NA,"$116,302-$188,990",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-state-engineer-traffic-operations-richmond-virginia-united-states,2023-02-23
Public Health Nurse,Department of Health,Full-Time (Salaried),NA,NA,NA,Closing soon,2023-03-09T23:55:00Z,Nelson,NA,https://www.jobs.virginia.gov/jobs/public-health-nurse-nelson-virginia-united-states,2023-02-23
Food Operations Supervisor: Cold Springs CCAP #01202,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,2023-03-10T23:55:00Z,"Augusta County
  Staunton",Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-greenville-virginia-united-states-5a3b9e95-1c45-4b1c-9258-e964fbc2c336,2023-02-23
Hearing Officer: Augusta Correctional Center #00750,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/hearing-officer-augusta-correctional-center-00750-augusta-county-virginia-united-states,2023-02-23
Casework Counselor: Augusta Correctional Center #00073,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-10T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/casework-counselor-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-23
Casework Counselor: Cold Springs Correctional Unit 10 #10041,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-10T23:55:00Z,Augusta County,Cold Springs Corr Unit 10,https://www.jobs.virginia.gov/jobs/casework-counselor-cold-springs-correctional-unit-10-augusta-county-virginia-united-states,2023-02-23
Food Operations Supervisor: Augusta Correctional Center #00025,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,2023-03-10T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-augusta-correctional-center-00025-augusta-county-virginia-united-states,2023-02-23
Electronic Technician Senior: Augusta Correctional Center #00742,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Open,2023-03-10T23:55:00Z,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/electronic-technician-senior-augusta-correctional-center-00742-augusta-county-virginia-united-states,2023-02-23
LPN or RN Charge Nurse,Department of Veterans Services,Full-Time (Salaried),NA,"$62,400 - $65,520",General Public - G,Open,NA,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/lpn-or-rn-charge-nurse-roanoke-virginia-united-states,2023-02-24
Grounds/Maintenance Worker,Department of Veterans Services,Full-Time (Salaried),NA,"$24,913 - $32,000",General Public - G,Open,NA,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/grounds-maintenance-worker-roanoke-virginia-united-states,2023-02-24
Resident Specialist I,Department of Juvenile Justice,Full-Time (Salaried),NA,"Minimum $41,894 (salary commensurate with qualifications) $5,000 Sign on Bonus (does not apply to current state employees)",General Public - G,Open,NA,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/resident-specialist-i-richmond-virginia-united-states,2023-02-24
Probation Officer: P&P District #40 Fincastle #P4011,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-10T23:55:00Z,Botetourt County,Fincastle P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-40-fincastle-p4011-botetourt-county-virginia-united-states,2023-02-24
BRRO - P4453 - MS4 Coordinator/Stormwater Inspector,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - $85,000",General Public - G,Open,2023-03-10T23:55:00Z,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Blue Ridge Regional Office,https://www.jobs.virginia.gov/jobs/brro-p4453-ms4-coordinator-stormwater-inspector-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-co,2023-02-24
Public Health Nurse,Department of Health,Full-Time (Salaried),NA,"$57,000-$65,000",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,RICHMOND-HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-richmond-virginia-united-states-2ad78849-1d25-43ec-ac2a-9d6d515bb07f,2023-02-24
Traffic Engineer,VA Department of Transportation,Full-Time (Salaried),NA,"$72,738 - $100,015",General Public - G,Open,2023-03-10T23:55:00Z,"Chesterfield
  Colonial Heights
  Hanover
  Henrico
  Richmond

            Chesterfield
  Colonial Heights
  Hanover",Richmond District Office,https://www.jobs.virginia.gov/jobs/traffic-engineer-chesterfield-virginia-united-states-colonial-heights-hanover-henrico-richmond,2023-02-24
Deputy Clerk - Criminal - Fairfax,Supreme Court,Full-Time (Salaried),NA,"negotiable to 43,259 + 15% County Stipend",General Public - G,Open,NA,Fairfax County,Fairfax County Gen Dist Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-criminal-fairfax-fairfax-county-virginia-united-states,2023-02-24
Office Services Specialist,Department of Health,Full-Time (Salaried),NA,"$24,913-$28,000",General Public - G,Open,2023-03-12T23:55:00Z,"Danville
  Halifax
  Henry
  Martinsville
  Pittsylvania

            Danville
  Halifax
  Henry",Danville,https://www.jobs.virginia.gov/jobs/office-services-specialist-danville-virginia-united-states-halifax-henry-martinsville-pittsylvania,2023-02-24
Inventory Specialist - #BVI00363,Department for Blind/Vision Impaired,Full-Time (Salaried),2,"$26,853 - $41,400",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/inventory-specialist-bvi00363-henrico-virginia-united-states-2fe7feb7-3acd-4ab1-bf0d-791205a69976,2023-02-24
Training Manager - Hunter Education Program,Department of Wildlife Resources,Full-Time (Salaried),5,"starting @ $55,000 (salary to commensurate with experience)",General Public - G,Open,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/training-manager-hunter-education-program-henrico-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Bedford County,Bedford County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-bedford-county-virginia-united-states,2023-02-24
Area Forester-Rappahannock District,Department of Forestry,Full-Time (Salaried),NA,"Starting at $38,894+ with benefits",General Public - G,Open,2023-03-10T23:55:00Z,Spotsylvania,"Charlottesville, Nat Resrcs Dr",https://www.jobs.virginia.gov/jobs/area-forester-rappahannock-district-spotsylvania-virginia-united-states,2023-02-24
Medical Evaluator Senior 03991,Department of Motor Vehicles,Full-Time (Salaried),4,"Commensurate with experience up to $55,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,MEDICAL REVIEW WORK CENTER,https://www.jobs.virginia.gov/jobs/medical-evaluator-senior-03991-richmond-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,King & Queen,King & Queen County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-king-queen-virginia-united-states,2023-02-24
Conservation Police First Sergeant,Department of Wildlife Resources,Full-Time (Salaried),5,"$62,044 - $93,867",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Pulaski,Pulaski County Territory,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-pulaski-virginia-united-states,2023-02-24
Deputy Clerk - Traffic - VA Beach,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Open,2023-03-10T23:55:00Z,Virginia Beach,Virginia Beach Gen District Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-traffic-va-beach-virginia-beach-virginia-united-states-cdc1573a-e7fb-4f56-a5d7-f8df44da9aae,2023-02-24
Systems Analyst - Entry #W2252,Department of Social Services,Full-Time (Salaried),5,"$63,000 - $78,750/yr.",General Public - G,Open,2023-03-11T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/systems-analyst-entry-w2252-richmond-virginia-united-states,2023-02-26
Institutional Operations Manager: Sussex I & Sussex II State Prison Complex #00803,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$50,811 - $83,329.00",General Public - G,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/institutional-operations-manager-sussex-i-sussex-ii-state-prison-complex-00803-sussex-virginia-united-states,2023-02-26
Unit Manager: Sussex State Prison Complex #00651,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,352 - $83,329",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/unit-manager-sussex-state-prison-complex-00651-sussex-virginia-united-states,2023-02-26
Office Services Specialist (Records): Sussex State Prison Complex #00033,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/office-services-specialist-records-sussex-state-prison-complex-00033-sussex-virginia-united-states,2023-02-26
Corrections Captain: Sussex I & Sussex II Prison Complex #00530,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$59,143 - $96,315",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/corrections-captain-sussex-i-sussex-ii-prison-complex-00530-sussex-virginia-united-states,2023-02-26
Secretary Senior: Sussex State Prison Complex #00138,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/secretary-senior-sussex-state-prison-complex-00138-sussex-virginia-united-states,2023-02-26
Casework Counselor Senior: Sussex State Prison Complex #00529,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-sussex-state-prison-complex-00529-sussex-virginia-united-states,2023-02-26
Inmate Grievance Coordinator: Sussex State Prison Complex #00017,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$34,818 - $54,317",General Public - G,Open,2023-03-10T23:55:00Z,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-sussex-state-prison-complex-00017-sussex-virginia-united-states,2023-02-26
Web Content Manager,Virginia Museum of Fine Arts,Full-Time (Salaried),NA,"$60,000 annually",General Public - G,Open,NA,Richmond,MAIN MUSEUM,https://www.jobs.virginia.gov/jobs/web-content-manager-richmond-virginia-united-states-1190c786-c8da-483e-988b-eb28aaaea08e,2023-02-26
Financial Reporting Analyst,Department of Accounts,Full-Time (Salaried),NA,"59,850 - 73,500",General Public - G,Open,NA,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/financial-reporting-analyst-richmond-virginia-united-states,2023-02-26
Senior Real Estate Transaction Manager - DR013,Department of General Services,Full-Time (Salaried),NA,"$85,000 - $90,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/senior-real-estate-transaction-manager-dr013-richmond-virginia-united-states,2023-02-26
Office Manager - Sky Meadows State Park,Department Conservation & Recreation,Full-Time (Salaried),NA,"$37,042 - $52,500",General Public - G,Open,2023-03-13T23:55:00Z,Fauquier County,Sky Meadows State Park,https://www.jobs.virginia.gov/jobs/office-manager-sky-meadows-state-park-fauquier-county-virginia-united-states-725c1263-e288-4f6e-9e0c-73a5438a0bcd,2023-02-26
